# Datos históricos de contaminantes atmosféricos - Junio 2025
# Estación: Centro de Monitoreo Ambiental
# Unidades: CO2(ppm), SO2(ppb), NO2(ppb), PM2.5(µg/m³)
# Formato: Fecha,Hora,CO,SO2,NO2,PM2.5

Norte
2025-06-04,18:56:39,519,2,9,9
2025-06-05,18:56:12,396,2,9,6
2025-06-06,18:56:02,441,2,9,7
2025-06-07,18:56:39,494,2,9,9
2025-06-08,18:56:39,395,2,9,7
2025-06-09,18:56:40,484,2,9,10
2025-06-10,18:56:55,421,2,9,8
2025-06-11,18:56:45,409,2,9,8
2025-06-12,18:56:23,425,2,9,8
2025-06-13,18:56:22,405,3,9,8
2025-06-14,18:56:39,521,2,8,7
2025-06-15,18:56:12,417,2,8,6
2025-06-16,18:56:01,392,2,8,5
2025-06-17,18:56:39,352,3,8,5
2025-06-18,18:56:29,396,2,8,6
2025-06-19,18:56:18,325,2,7,4
2025-06-20,18:56:47,331,2,7,4
2025-06-21,18:56:26,324,2,8,4
2025-06-22,18:56:40,302,2,8,6
2025-06-23,18:56:39,261,2,8,5
2025-06-24,18:56:39,267,2,7,4
2025-06-25,18:56:18,347,2,7,5
2025-06-26,18:56:26,423,2,6,5
2025-06-27,18:56:08,459,1,7,4
2025-06-28,18:56:38,461,2,10,5
2025-06-29,18:56:39,437,3,13,5
2025-06-30,18:56:09,325,3,14,5
2025-07-01,18:56:00,388,3,15,5
2025-07-02,18:56:33,324,2,12,4
2025-07-03,18:56:39,377,2,14,5

Valles
2025-06-04,00:09:13,461,3,10,9
2025-06-05,00:09:13,483,2,10,7
2025-06-06,00:09:14,347,3,10,8
2025-06-07,00:09:13,326,2,9,8
2025-06-08,00:09:13,350,3,10,7
2025-06-09,00:09:12,370,2,9,8
2025-06-10,00:09:12,358,4,9,7
2025-06-11,00:09:14,299,4,8,7
2025-06-12,00:09:13,305,3,9,6
2025-06-13,00:09:14,319,2,8,6
2025-06-14,00:09:12,345,3,8,6
2025-06-15,00:09:18,373,2,8,6
2025-06-16,00:09:12,368,2,8,5
2025-06-17,00:09:13,369,3,8,5
2025-06-18,00:09:13,372,2,9,5
2025-06-19,00:09:14,289,1,7,4
2025-06-20,00:09:12,293,1,7,4
2025-06-21,00:09:18,390,1,8,5
2025-06-22,00:09:12,322,2,8,7
2025-06-23,00:09:13,278,1,8,6
2025-06-24,00:09:13,314,1,9,6
2025-06-25,00:09:12,410,1,9,6
2025-06-26,00:09:14,505,1,8,5
2025-06-27,00:09:13,540,1,8,5
2025-06-28,00:09:15,431,2,13,5
2025-06-29,00:09:12,482,3,14,5
2025-06-30,00:09:11,305,3,14,5
2025-07-01,00:09:11,379,4,15,5
2025-07-02,00:09:15,304,3,13,5
2025-07-03,00:09:13,396,3,15,6





